"Station","Metric","Value","Name"
"S1","AMP",93,"Q_max"
"S1","AMP",69.75,"Q_0.75"
"S1","AMP",46.5,"Q_0.5"
"S1","AMP",23.25,"Q_0.25"
"S1","MAFR",93,"Q_max"
"S1","MAFR",69.75,"Q_0.75"
"S1","MAFR",46.5,"Q_0.5"
"S1","MAFR",23.25,"Q_0.25"
"S1","MEFR",93,"Q_max"
"S1","MEFR",69.75,"Q_0.75"
"S1","MEFR",46.5,"Q_0.5"
"S1","MEFR",23.25,"Q_0.25"
"S1","DUR",1,"N"
"S2","RATIO",19.9009900990099,"Max"
