"station.x","station.y","bound","lag","metric"
"S1","S2","lower",1,0.738885603547477
"S1","S2","inner",1,0.95
"S1","S2","upper",1,1.16111439645252
"S2","S3","lower",1,0.75
"S2","S3","inner",1,1.00
"S2","S3","upper",1,1.50
