"ID","Time","Q"
200000,"2014-01-01 00:00:00",4.07
200000,"2014-01-01 00:15:00",4.06
200000,"2014-01-01 00:30:00",4.05
200000,"2014-01-01 00:45:00",4.04
200000,"2014-01-01 01:00:00",4.03
200000,"2014-01-01 01:15:00",4.01
200000,"2014-01-01 01:30:00",4
200000,"2014-01-01 01:45:00",3.98
200000,"2014-01-01 02:00:00",3.97
200000,"2014-01-01 02:15:00",3.97
200000,"2014-01-01 02:30:00",4.04
200000,"2014-01-01 02:45:00",9.59
200000,"2014-01-01 03:00:00",22.7
200000,"2014-01-01 03:15:00",29.5
200000,"2014-01-01 03:30:00",29.8
200000,"2014-01-01 03:45:00",28.9
200000,"2014-01-01 04:00:00",24.6
200000,"2014-01-01 04:15:00",18.1
200000,"2014-01-01 04:30:00",13
200000,"2014-01-01 04:45:00",9.62
200000,"2014-01-01 05:00:00",7.46
200000,"2014-01-01 05:15:00",6.08
200000,"2014-01-01 05:30:00",5.23
200000,"2014-01-01 05:45:00",4.75
200000,"2014-01-01 06:00:00",4.44
200000,"2014-01-01 06:15:00",4.24
200000,"2014-01-01 06:30:00",4.14
200000,"2014-01-01 06:45:00",4.09
200000,"2014-01-01 07:00:00",4.05
200000,"2014-01-01 07:15:00",4.02
200000,"2014-01-01 07:30:00",3.99
200000,"2014-01-01 07:45:00",3.96
200000,"2014-01-01 08:00:00",3.94
200000,"2014-01-01 08:15:00",3.92
200000,"2014-01-01 08:30:00",3.91
200000,"2014-01-01 08:45:00",3.89
200000,"2014-01-01 09:00:00",3.88
200000,"2014-01-01 09:15:00",3.86
200000,"2014-01-01 09:30:00",3.84
200000,"2014-01-01 09:45:00",3.83
200000,"2014-01-01 10:00:00",3.81
200000,"2014-01-01 10:15:00",3.78
200000,"2014-01-01 10:30:00",3.76
200000,"2014-01-01 10:45:00",3.75
200000,"2014-01-01 11:00:00",3.74
200000,"2014-01-01 11:15:00",3.73
200000,"2014-01-01 11:30:00",3.71
200000,"2014-01-01 11:45:00",3.77
200000,"2014-01-01 12:00:00",9.56
200000,"2014-01-01 12:15:00",24.1
200000,"2014-01-01 12:30:00",31.8
200000,"2014-01-01 12:45:00",32.2
200000,"2014-01-01 13:00:00",32.1
200000,"2014-01-01 13:15:00",31.3
200000,"2014-01-01 13:30:00",29.4
200000,"2014-01-01 13:45:00",24.5
200000,"2014-01-01 14:00:00",18
200000,"2014-01-01 14:15:00",12.9
200000,"2014-01-01 14:30:00",9.57
200000,"2014-01-01 14:45:00",7.4
200000,"2014-01-01 15:00:00",6.01
200000,"2014-01-01 15:15:00",5.15
200000,"2014-01-01 15:30:00",4.63
200000,"2014-01-01 15:45:00",4.31
200000,"2014-01-01 16:00:00",4.17
200000,"2014-01-01 16:15:00",4.13
200000,"2014-01-01 16:30:00",4.12
200000,"2014-01-01 16:45:00",4.11
200000,"2014-01-01 17:00:00",4.11
200000,"2014-01-01 17:15:00",4.08
200000,"2014-01-01 17:30:00",4.05
200000,"2014-01-01 17:45:00",4.03
200000,"2014-01-01 18:00:00",4.01
200000,"2014-01-01 18:15:00",3.99
200000,"2014-01-01 18:30:00",3.97
200000,"2014-01-01 18:45:00",3.95
200000,"2014-01-01 19:00:00",3.96
200000,"2014-01-01 19:15:00",9.62
200000,"2014-01-01 19:30:00",24.6
200000,"2014-01-01 19:45:00",33.1
200000,"2014-01-01 20:00:00",30.4
200000,"2014-01-01 20:15:00",23.3
200000,"2014-01-01 20:30:00",16.3
200000,"2014-01-01 20:45:00",11.8
200000,"2014-01-01 21:00:00",8.83
200000,"2014-01-01 21:15:00",6.92
200000,"2014-01-01 21:30:00",5.71
200000,"2014-01-01 21:45:00",4.95
200000,"2014-01-01 22:00:00",4.49
200000,"2014-01-01 22:15:00",4.2
200000,"2014-01-01 22:30:00",4.04
200000,"2014-01-01 22:45:00",3.95
200000,"2014-01-01 23:00:00",3.89
200000,"2014-01-01 23:15:00",3.85
200000,"2014-01-01 23:30:00",3.81
200000,"2014-01-01 23:45:00",3.78
200000,"2014-01-02 00:00:00",3.75
200000,"2014-01-02 00:15:00",3.72
200000,"2014-01-02 00:30:00",3.69
200000,"2014-01-02 00:45:00",3.66
200000,"2014-01-02 01:00:00",3.63
200000,"2014-01-02 01:15:00",3.61
200000,"2014-01-02 01:30:00",3.6
200000,"2014-01-02 01:45:00",3.6
200000,"2014-01-02 02:00:00",3.6
200000,"2014-01-02 02:15:00",3.59
200000,"2014-01-02 02:30:00",3.58
200000,"2014-01-02 02:45:00",3.56
200000,"2014-01-02 03:00:00",3.54
200000,"2014-01-02 03:15:00",3.52
200000,"2014-01-02 03:30:00",3.51
200000,"2014-01-02 03:45:00",3.51
200000,"2014-01-02 04:00:00",3.5
200000,"2014-01-02 04:15:00",3.49
200000,"2014-01-02 04:30:00",3.48
200000,"2014-01-02 04:45:00",3.48
200000,"2014-01-02 05:00:00",3.48
200000,"2014-01-02 05:15:00",3.47
200000,"2014-01-02 05:30:00",3.47
200000,"2014-01-02 05:45:00",3.47
200000,"2014-01-02 06:00:00",3.46
200000,"2014-01-02 06:15:00",3.46
200000,"2014-01-02 06:30:00",3.46
200000,"2014-01-02 06:45:00",5.32
200000,"2014-01-02 07:00:00",16.4
200000,"2014-01-02 07:15:00",29.3
200000,"2014-01-02 07:30:00",30.5
200000,"2014-01-02 07:45:00",30.4
200000,"2014-01-02 08:00:00",30.3
200000,"2014-01-02 08:15:00",30.2
200000,"2014-01-02 08:30:00",30.1
200000,"2014-01-02 08:45:00",30.1
200000,"2014-01-02 09:00:00",27.6
200000,"2014-01-02 09:15:00",21.6
200000,"2014-01-02 09:30:00",15.4
200000,"2014-01-02 09:45:00",11.2
200000,"2014-01-02 10:00:00",8.39
200000,"2014-01-02 10:15:00",6.61
200000,"2014-01-02 10:30:00",5.49
200000,"2014-01-02 10:45:00",4.78
200000,"2014-01-02 11:00:00",4.33
200000,"2014-01-02 11:15:00",4.06
200000,"2014-01-02 11:30:00",3.9
200000,"2014-01-02 11:45:00",3.81
200000,"2014-01-02 12:00:00",3.78
200000,"2014-01-02 12:15:00",3.76
200000,"2014-01-02 12:30:00",3.74
200000,"2014-01-02 12:45:00",3.73
200000,"2014-01-02 13:00:00",3.73
200000,"2014-01-02 13:15:00",3.73
200000,"2014-01-02 13:30:00",3.73
200000,"2014-01-02 13:45:00",3.73
200000,"2014-01-02 14:00:00",3.73
200000,"2014-01-02 14:15:00",3.75
200000,"2014-01-02 14:30:00",3.78
200000,"2014-01-02 14:45:00",3.82
200000,"2014-01-02 15:00:00",3.85
200000,"2014-01-02 15:15:00",3.88
200000,"2014-01-02 15:30:00",3.94
200000,"2014-01-02 15:45:00",4.03
200000,"2014-01-02 16:00:00",4.13
200000,"2014-01-02 16:15:00",4.3
200000,"2014-01-02 16:30:00",4.56
200000,"2014-01-02 16:45:00",4.79
200000,"2014-01-02 17:00:00",4.89
200000,"2014-01-02 17:15:00",4.89
200000,"2014-01-02 17:30:00",4.83
200000,"2014-01-02 17:45:00",4.79
200000,"2014-01-02 18:00:00",4.82
200000,"2014-01-02 18:15:00",4.88
200000,"2014-01-02 18:30:00",4.91
200000,"2014-01-02 18:45:00",4.91
200000,"2014-01-02 19:00:00",4.87
200000,"2014-01-02 19:15:00",8.11
200000,"2014-01-02 19:30:00",19.6
200000,"2014-01-02 19:45:00",29.4
200000,"2014-01-02 20:00:00",30.5
200000,"2014-01-02 20:15:00",30.7
200000,"2014-01-02 20:30:00",30.8
200000,"2014-01-02 20:45:00",31.1
200000,"2014-01-02 21:00:00",31.3
200000,"2014-01-02 21:15:00",31.2
200000,"2014-01-02 21:30:00",29.1
200000,"2014-01-02 21:45:00",23.4
200000,"2014-01-02 22:00:00",16.9
200000,"2014-01-02 22:15:00",12.2
200000,"2014-01-02 22:30:00",9.19
200000,"2014-01-02 22:45:00",7.25
200000,"2014-01-02 23:00:00",6.03
200000,"2014-01-02 23:15:00",5.31
200000,"2014-01-02 23:30:00",4.88
200000,"2014-01-02 23:45:00",4.62
200000,"2014-01-03 00:00:00",4.48
200000,"2014-01-03 00:15:00",4.42
